Compound,SMILES,RT,Signal,Concentration,Concentration_sample,Type,ISTD_response,Sample_type,Sample_name,mz,MW,IC
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,1573552,0.5,0.889,Target Compound,358369810,Cal Std,STD2(0.5ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,2955950,1,1.121,Target Compound,405637657,Cal Std,STD3(1ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,20989980,5,5.311999999999999,Target Compound,351825310,Cal Std,STD4(5ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,45216976,10,9.411,Target Compound,407794792,Cal Std,STD5(10ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,116473728,25,23.979,Target Compound,397624892,Cal Std,STD6(25ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,199940466,50,42.773,Target Compound,378842754,Cal Std,STD7(50ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,426620063,100,89.88499999999999,Target Compound,382112179,Cal Std,STD8(100ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,921962653,250,231.164,Target Compound,319914911,Cal Std,STD9(250ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,1834047531,500,490.49399999999997,Target Compound,299559574,Cal Std,STD10(500ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,NA,1000,1006.3519999999999,Target Compound,239496161,Cal Std,STD11(1000ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,40258214,NA,8.946,Target Compound,383143384,Cal Std,STD12(10ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,31268130,NA,7.497,Target Compound,359539879,Cal Std,STD13(10ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,4239356,NA,5.661999999999999,Target Compound,66209317,Unknown,LUQ02_spike_10ng/L,197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,6124847,NA,5.4990000000000006,Target Compound,98790163,Unknown,AGG21_spike_10 ng/L,197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,6674651,NA,8.998,Target Compound,63132027,Unknown,GEQ01_spike_10 ng/L,197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,6709932,NA,35.779,Target Compound,15236961,Unknown,BLG09_spike_100 ng/L,197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,60272418,NA,67.364,Target Compound,72177471,Unknown,NTG38_spike_100 ng/L,197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,45833071,NA,76.06700000000001,Target Compound,48561663,Unknown,VDG20_spike_100_ng/L,197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,60718104,NA,75.336,Target Compound,64961518,Unknown,BEG115_Ewigkeitsprobe_spiked_frozen,197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,70821440,NA,66.646,Target Compound,85730690,Unknown,BEG115_ Ewigkeitsprobe_ freshly_spiked,197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,616866,0.5,0.727,Target Compound,260114614,Cal Std,STD_15_(0.5_ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,2212818,1,1.086,Target Compound,323046066,Cal Std,STD_16_(1_ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,12750222,5,3.8819999999999997,Target Compound,305076277,Cal Std,STD_17_ (5_ng/L),197.084,196.677,148.08087648294043
1-(3-Chlorophenyl)-piperazin_2818_p,c1c(Cl)cccc1N1CCNCC1,13.1,30169560,10,7.45,Target Compound,349290163,Cal Std,STD_18_(10_ng/L),197.084,196.677,148.08087648294043
